id,result
1,0.164233139
2,0.166222503
3,0.75058819
4,0.661697537
5,0.170655438
6,0.504441964
7,0.503974232
8,0.347151548
9,0.834676067
10,0.748242509
11,0.591831631
12,0.835032383
13,0.08422188
14,0.917033006
15,0.578600026
16,0.17307613
17,0.828178756
18,0.339632362
19,0.08422188
20,0.578525014
21,0.834676067
22,0.170766853
23,0.749379887
24,0.495600533
25,0.830488034
26,0.675919508
27,0.493199722
28,0.834676067
29,0.592453079
30,0.835032383
31,0.75263521
32,0.503955146
33,0.340865462
34,0.748167497
35,0.250778111
36,0.328590702
37,0.342073765
38,0.420620441
39,0.08422188
40,0.679373455
41,0.330421676
42,0.505263258
43,0.671356072
44,0.581842748
45,0.423907484
46,0.917033006
47,0.333956346
48,0.665714835
49,0.917033006
50,0.249832066
51,0.917033006
52,0.840277071
53,0.663369154
54,0.749379887
55,0.748131094
56,0.590267012
57,0.08422188
58,0.917033006
59,0.08422188
60,0.412043795
61,0.917033006
62,0.488437663
63,0.917033006
64,0.571746399
65,0.493611169
66,0.17307613
67,0.75058819
68,0.654103338
69,0.342718614
70,0.497532847
71,0.329324788
72,0.74963208
73,0.491623725
74,0.592087911
75,0.08422188
76,0.327166352
77,0.251874999
78,0.17186374
79,0.339520947
80,0.760265812
81,0.66199022
82,0.258408713
83,0.412778615
84,0.660600649
85,0.828178756
86,0.917033006
87,0.490315613
88,0.502877344
89,0.754821278
90,0.755021124
91,0.753356695
92,0.579621902
93,0.576935597
94,0.758475071
95,0.336788844
96,0.829391146
97,0.840277071
98,0.491523915
99,0.170766853
100,0.917033006
101,0.420620441
102,0.660525637
103,0.917033006
104,0.17186374
105,0.164233139
106,0.17186374
107,0.581978961
108,0.5719913
109,0.421098745
110,0.830488034
111,0.66199022
112,0.746178133
113,0.500068246
114,0.662053853
115,0.501357272
116,0.750476775
117,0.917033006
118,0.595174163
119,0.413991005
120,0.332244495
121,0.834676067
122,0.674611396
123,0.497224729
124,0.08422188
125,0.502042714
126,0.659633161
127,0.415064493
128,0.34484227
129,0.583075849
130,0.247898191
131,0.653991924
132,0.837021748
133,0.756485707
134,0.16657882
135,0.75612939
136,0.498689312
137,0.419275926
138,0.25543307
139,0.669695833
140,0.336265624
141,0.502287615
142,0.837021748
143,0.835032383
144,0.833367954
145,0.589054622
146,0.339201033
147,0.335540051
148,0.162768557
149,0.322989698
150,0.08422188
151,0.917033006
152,0.917033006
153,0.167886932
154,0.829391146
155,0.17307613
156,0.08422188
157,0.917033006
158,0.749379887
159,0.748598826
160,0.834676067
161,0.160977816
162,0.502565575
163,0.419886355
164,0.917033006
165,0.248619676
166,0.664822359
167,0.414979204
168,0.08422188
169,0.66823125
170,0.513707779
171,0.247898191
172,0.917033006
173,0.672623952
174,0.08422188
175,0.08422188
176,0.08422188
177,0.162768557
178,0.25422068
179,0.492736305
180,0.675185422
181,0.668387721
182,0.917033006
183,0.755021124
184,0.497758968
185,0.828178756
186,0.917033006
187,0.584288239
